key,distance,patch,basis,rounds,method,prior,n,errors,mean_q,ece,brier,nll,kept_0.00,err_0.00,kept_0.05,err_0.05,kept_0.10,err_0.10,kept_0.20,err_0.20,kept_0.30,err_0.30,kept_0.50,err_0.50,kept_0.70,err_0.70
d3_at_q10_7/Z/r50,3,q10_7,Z,50,mwpm_gap,si1000,20000,5888,0.13964351829328964,0.1547564817067104,0.21087804489794543,0.7010558836745028,20000,5888,19000,5313,18000,4781,16000,3823,14000,2897,10000,1699,6000,840
d3_at_q10_7/Z/r50,3,q10_7,Z,50,mwpm_gap,rl,20000,5593,0.1665343215002712,0.11311567849972885,0.1987862017520266,0.6195697607102831,20000,5593,19000,5085,18000,4628,16000,3686,14000,2891,10000,1644,6000,786
d3_at_q10_7/Z/r70,3,q10_7,Z,70,mwpm_gap,si1000,20000,7550,0.19357182660333339,0.18392817339666662,0.259633774123375,0.8160518430963538,20000,7550,19000,7033,18000,6494,16000,5495,14000,4518,10000,2720,6000,1344
d3_at_q10_7/Z/r70,3,q10_7,Z,70,mwpm_gap,rl,20000,7416,0.22667574118292905,0.14412425881707097,0.2461878052844174,0.7309890567723365,20000,7416,19000,6900,18000,6416,16000,5459,14000,4493,10000,2688,6000,1317
d3_at_q10_7/Z/r90,3,q10_7,Z,90,mwpm_gap,si1000,20000,8013,0.21633758673885617,0.1843124132611439,0.26756799141178783,0.8184352360218969,20000,8013,19000,7466,18000,6942,16000,5907,14000,4922,10000,3053,6000,1539
d3_at_q10_7/Z/r90,3,q10_7,Z,90,mwpm_gap,rl,20000,7903,0.2498140719595282,0.1453359280404718,0.2548255567647692,0.7430743748675566,20000,7903,19000,7397,18000,6873,16000,5891,14000,4953,10000,3077,6000,1518
d3_at_q10_7/Z/r110,3,q10_7,Z,110,mwpm_gap,si1000,20000,8741,0.24279054946613923,0.1942594505338608,0.28546036448150214,0.8529888865350805,20000,8741,19000,8213,18000,7715,16000,6664,14000,5634,10000,3745,6000,1954
d3_at_q10_7/Z/r110,3,q10_7,Z,110,mwpm_gap,rl,20000,8614,0.2739909022178982,0.1567090977821018,0.2727048745649042,0.7826374099764138,20000,8614,19000,8129,18000,7614,16000,6610,14000,5639,10000,3745,6000,1971
d3_at_q10_7/Z/r130,3,q10_7,Z,130,mwpm_gap,si1000,20000,9137,0.26437542029306893,0.1924745797069311,0.291518065531568,0.8566492776048386,20000,9137,19000,8603,18000,8097,16000,7053,14000,6057,10000,4101,6000,2188
d3_at_q10_7/Z/r130,3,q10_7,Z,130,mwpm_gap,rl,20000,9010,0.2955617447580721,0.15493825524192792,0.27703265137001354,0.7871491994477648,20000,9010,19000,8497,18000,7960,16000,6953,14000,5969,10000,4035,6000,2199
d3_at_q10_7/Z/r150,3,q10_7,Z,150,mwpm_gap,si1000,20000,9282,0.27698737006284957,0.18711262993715047,0.29316587225070445,0.8517971797987768,20000,9282,19000,8784,18000,8265,16000,7256,14000,6270,10000,4245,6000,2355
d3_at_q10_7/Z/r150,3,q10_7,Z,150,mwpm_gap,rl,20000,9227,0.3080593578444111,0.15329064215558896,0.2808084578057719,0.7915050711354846,20000,9227,19000,8757,18000,8243,16000,7243,14000,6230,10000,4255,6000,2332
d3_at_q10_7/Z/r170,3,q10_7,Z,170,mwpm_gap,si1000,20000,9710,0.31404108827931104,0.17145891172068897,0.29214322823595545,0.8296154626153368,20000,9710,19000,9191,18000,8701,16000,7691,14000,6657,10000,4661,6000,2654
d3_at_q10_7/Z/r170,3,q10_7,Z,170,mwpm_gap,rl,20000,9792,0.34539698815342856,0.14420301184657144,0.2816304986195199,0.783124645152289,20000,9792,19000,9273,18000,8765,16000,7727,14000,6712,10000,4711,6000,2725
d3_at_q10_7/Z/r190,3,q10_7,Z,190,mwpm_gap,si1000,20000,9633,0.31207404151291657,0.16957595848708348,0.2914376043110093,0.8265816917296899,20000,9633,19000,9130,18000,8608,16000,7605,14000,6617,10000,4647,6000,2630
d3_at_q10_7/Z/r190,3,q10_7,Z,190,mwpm_gap,rl,20000,9462,0.3409039331809102,0.13219606681908969,0.27762438958273494,0.7739192762186909,20000,9462,19000,8962,18000,8454,16000,7443,14000,6466,10000,4520,6000,2609
d3_at_q10_7/Z/r210,3,q10_7,Z,210,mwpm_gap,si1000,20000,9733,0.3394298282163314,0.14722017178366867,0.28591374312073403,0.8025921545873164,20000,9733,19000,9252,18000,8753,16000,7769,14000,6780,10000,4797,6000,2774
d3_at_q10_7/Z/r210,3,q10_7,Z,210,mwpm_gap,rl,20000,9640,0.3562656509551364,0.12721971965069725,0.278518246176778,0.770617229021371,20000,9640,19000,9141,18000,8660,16000,7714,14000,6781,10000,4767,6000,2758
d3_at_q10_7/Z/r230,3,q10_7,Z,230,mwpm_gap,si1000,20000,9865,0.33355253770634496,0.15969746229365497,0.28940968490584945,0.8129484330186169,20000,9865,19000,9359,18000,8857,16000,7833,14000,6842,10000,4775,6000,2766
d3_at_q10_7/Z/r230,3,q10_7,Z,230,mwpm_gap,rl,20000,9678,0.3574149402080652,0.12702704274564225,0.27941892532506846,0.7734097373925004,20000,9678,19000,9197,18000,8679,16000,7709,14000,6749,10000,4749,6000,2855
d3_at_q10_7/Z/r250,3,q10_7,Z,250,mwpm_gap,si1000,20000,9770,0.3679931081283158,0.1205068918716842,0.2772709118329945,0.7709117094788471,20000,9770,19000,9275,18000,8787,16000,7808,14000,6818,10000,4844,6000,2862
d3_at_q10_7/Z/r250,3,q10_7,Z,250,mwpm_gap,rl,20000,9961,0.3799554115878818,0.1180945884121182,0.27417095418204335,0.7546880661029656,20000,9961,19000,9463,18000,8959,16000,7918,14000,6912,10000,4881,6000,2887
d3_at_q2_7/X/r01,3,q2_7,X,1,mwpm_gap,si1000,20000,97,0.0022514432628759707,0.0026000496206202706,0.004190448762116891,0.019240326749410865,20000,97,19000,37,18000,7,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/X/r01,3,q2_7,X,1,mwpm_gap,rl,20000,94,0.004018493402103846,0.0006878015412251339,0.004050718127021485,0.01801218043320434,20000,94,19000,24,18000,10,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/X/r01,3,q2_7,X,1,exact,si1000,20000,95,0.002563094831272769,0.002189796110188931,0.0041063367109485036,0.018650319370489474,20000,95,19000,37,18000,11,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/X/r01,3,q2_7,X,1,exact,rl,20000,91,0.004478624166552418,0.0004883092376594963,0.0039925748323621675,0.01768034321488267,20000,91,19000,22,18000,11,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/X/r10,3,q2_7,X,10,mwpm_gap,si1000,20000,1409,0.03202367943531125,0.03842632056468874,0.053968635898929584,0.21782421089483892,20000,1409,19000,887,18000,627,16000,468,14000,352,10000,132,6000,6
d3_at_q2_7/X/r10,3,q2_7,X,10,mwpm_gap,rl,20000,1297,0.041775924004577324,0.023074075995422685,0.052654165288561934,0.19785524437946272,20000,1297,19000,926,18000,638,16000,464,14000,343,10000,123,6000,4
d3_at_q2_7/X/r30,3,q2_7,X,30,mwpm_gap,si1000,20000,3949,0.0883885755785703,0.10906142442142969,0.14679187048275238,0.5334661368234003,20000,3949,19000,3380,18000,2863,16000,2041,14000,1450,10000,831,6000,410
d3_at_q2_7/X/r30,3,q2_7,X,30,mwpm_gap,rl,20000,3736,0.1054113044981578,0.08138869550184223,0.14157749914409712,0.4726112937949751,20000,3736,19000,3257,18000,2859,16000,2092,14000,1456,10000,893,6000,412
d3_at_q2_7/X/r50,3,q2_7,X,50,mwpm_gap,si1000,20000,5750,0.1330843167269981,0.15441568327300184,0.20829607678711515,0.7206453331041642,20000,5750,19000,5180,18000,4666,16000,3647,14000,2834,10000,1623,6000,850
d3_at_q2_7/X/r50,3,q2_7,X,50,mwpm_gap,rl,20000,5539,0.15059061160737988,0.1263593883926201,0.20138230097700408,0.6403023958881211,20000,5539,19000,5067,18000,4576,16000,3720,14000,2946,10000,1636,6000,904
d3_at_q2_7/X/r70,3,q2_7,X,70,mwpm_gap,si1000,20000,6903,0.16521138524297158,0.1799386147570284,0.2449196739374937,0.8140109931162054,20000,6903,19000,6361,18000,5823,16000,4863,14000,3870,10000,2266,6000,1155
d3_at_q2_7/X/r70,3,q2_7,X,70,mwpm_gap,rl,20000,6761,0.18160476643553652,0.15644523356446347,0.23715581209503844,0.7276185952023888,20000,6761,19000,6263,18000,5780,16000,4811,14000,3991,10000,2264,6000,1210
d3_at_q2_7/X/r90,3,q2_7,X,90,mwpm_gap,si1000,20000,8958,0.24033557969005392,0.20756442030994604,0.2977191694417874,0.9267719878960216,20000,8958,19000,8419,18000,7894,16000,6815,14000,5841,10000,3959,6000,2127
d3_at_q2_7/X/r90,3,q2_7,X,90,mwpm_gap,rl,20000,8603,0.244453531850331,0.18569646814966903,0.2845095188793599,0.8358989668961343,20000,8603,19000,8124,18000,7677,16000,6706,14000,5718,10000,3860,6000,2076
d3_at_q2_7/X/r110,3,q2_7,X,110,mwpm_gap,si1000,20000,8476,0.22485865170865518,0.19894134829134485,0.28452096152393264,0.8886518813159466,20000,8476,19000,7950,18000,7425,16000,6413,14000,5444,10000,3521,6000,1798
d3_at_q2_7/X/r110,3,q2_7,X,110,mwpm_gap,rl,20000,8301,0.23698668803239428,0.17806331196760572,0.2745832749051504,0.8057640575690621,20000,8301,19000,7788,18000,7310,16000,6313,14000,5390,10000,3584,6000,1799
d3_at_q2_7/X/r130,3,q2_7,X,130,mwpm_gap,si1000,20000,9107,0.25936731434888,0.19598268565112004,0.29608066214462053,0.8956864595945182,20000,9107,19000,8584,18000,8070,16000,7073,14000,6098,10000,4147,6000,2269
d3_at_q2_7/X/r130,3,q2_7,X,130,mwpm_gap,rl,20000,9115,0.2656021750205399,0.19014782497946014,0.28813896790347354,0.8300233626640967,20000,9115,19000,8615,18000,8108,16000,7107,14000,6070,10000,4122,6000,2281
d3_at_q2_7/X/r150,3,q2_7,X,150,mwpm_gap,si1000,20000,9243,0.2664149935486769,0.19573500645132308,0.2978138708582802,0.8942276516313543,20000,9243,19000,8717,18000,8206,16000,7202,14000,6220,10000,4251,6000,2364
d3_at_q2_7/X/r150,3,q2_7,X,150,mwpm_gap,rl,20000,9106,0.27192129312515645,0.1833787068748436,0.2891611250414592,0.8291643314621304,20000,9106,19000,8625,18000,8156,16000,7201,14000,6207,10000,4271,6000,2380
d3_at_q2_7/X/r170,3,q2_7,X,170,mwpm_gap,si1000,20000,9456,0.2884832565915727,0.18431674340842732,0.2965172892595027,0.8748310171484427,20000,9456,19000,8955,18000,8478,16000,7459,14000,6488,10000,4479,6000,2524
d3_at_q2_7/X/r170,3,q2_7,X,170,mwpm_gap,rl,20000,9388,0.2913227365066687,0.17807726349333136,0.2876184195873276,0.8155617052839204,20000,9388,19000,8886,18000,8373,16000,7383,14000,6367,10000,4444,6000,2541
d3_at_q2_7/X/r190,3,q2_7,X,190,mwpm_gap,si1000,20000,9574,0.2966846573392532,0.1820153426607468,0.29462371139918625,0.8606660818304747,20000,9574,19000,9092,18000,8591,16000,7545,14000,6512,10000,4495,6000,2537
d3_at_q2_7/X/r190,3,q2_7,X,190,mwpm_gap,rl,20000,9448,0.29655060056459176,0.17584939943540823,0.28791159947340383,0.8124458535644018,20000,9448,19000,8944,18000,8453,16000,7447,14000,6435,10000,4507,6000,2633
d3_at_q2_7/X/r210,3,q2_7,X,210,mwpm_gap,si1000,20000,9814,0.31112338491672353,0.1795766150832764,0.29671156625879946,0.858136774692036,20000,9814,19000,9314,18000,8837,16000,7798,14000,6766,10000,4758,6000,2749
d3_at_q2_7/X/r210,3,q2_7,X,210,mwpm_gap,rl,20000,9661,0.3111338420606614,0.17191615793933857,0.28936993014026563,0.8116697387026793,20000,9661,19000,9172,18000,8691,16000,7688,14000,6668,10000,4716,6000,2772
