axis,source,target,distance,basis,rounds,patch,method,prior,calibrator,ece,nll
pooled,pool:d3/X/r10 without q10_7 (8 patches),d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,isotonic,0.013617854226411897,0.1739964729350212
same,d3_at_q10_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.015094158294453906,0.4623692279455324
same,d3_at_q10_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.0053348273931250224,0.46072390731584784
sim,sim:d3_at_q10_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.09743797343301919,0.5425156079720027
sim,sim:d3_at_q10_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.09902138681615841,0.5500070399766382
basis,d3_at_q10_7/Z/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.02795844491182397,0.46471455736316825
basis,d3_at_q10_7/Z/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.02662012509833399,0.46500892335022476
patch,d3_at_q2_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.021265497970804736,0.4630051233226716
patch,d3_at_q2_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.026137965175662407,0.4679572741586682
patch,d3_at_q4_5/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.023325999270858877,0.4635978471059001
patch,d3_at_q4_5/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.036815352191402965,0.4684006279847745
patch,d3_at_q4_9/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.015014925950342114,0.46273276340043856
patch,d3_at_q4_9/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.018194456688608064,0.4637858669109461
patch,d3_at_q6_11/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.01622843088199452,0.4624961429048753
patch,d3_at_q6_11/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.01734969356976525,0.46286009636605197
patch,d3_at_q6_3/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.015214736464338019,0.4624138667820434
patch,d3_at_q6_3/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.0191551238815234,0.4646996920777412
patch,d3_at_q6_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.05455957576984736,0.4727146530897246
patch,d3_at_q6_7/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.055885217672876394,0.4773798560182917
patch,d3_at_q8_5/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.019383959241088936,0.4637751101902981
patch,d3_at_q8_5/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.029135183573847277,0.46554297223686625
patch,d3_at_q8_9/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.06013043871936158,0.47679652250735327
patch,d3_at_q8_9/X/r30,d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.060254034743082066,0.4764421499493662
pooled,pool:d3/X/r30 without q10_7 (8 patches),d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,platt,0.019363743542855614,0.46345929525860213
pooled,pool:d3/X/r30 without q10_7 (8 patches),d3_at_q10_7/X/r30,3,X,30,q10_7,mwpm_gap,si1000,isotonic,0.020933944221895425,0.4641176644661298
same,d3_at_q10_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.008724339382430644,0.5352297913946026
same,d3_at_q10_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.008682716482066026,0.5349535559439483
sim,sim:d3_at_q10_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.11750242192717121,0.6138390425136148
sim,sim:d3_at_q10_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.11612122513032345,0.6163138435172199
basis,d3_at_q10_7/Z/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.00946674285894374,0.5352597856995233
basis,d3_at_q10_7/Z/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.02016064685547669,0.5374570169992696
patch,d3_at_q2_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.014319946930642612,0.5356714784673641
patch,d3_at_q2_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.012076918087211059,0.53550520023582
patch,d3_at_q4_5/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.02431952865379377,0.5368346605779808
patch,d3_at_q4_5/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.023380929770779855,0.5375287985934333
patch,d3_at_q4_9/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.032763501199906536,0.5389971832676773
patch,d3_at_q4_9/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.03512969532700488,0.5392156856238597
patch,d3_at_q6_11/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.02091933238718939,0.5367392022767958
patch,d3_at_q6_11/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.023084411946266953,0.5361312879412709
patch,d3_at_q6_3/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.009035140404296146,0.5352688616963497
patch,d3_at_q6_3/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.01638170990641634,0.5362168418661187
patch,d3_at_q6_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.06663833127736886,0.5502804114427081
patch,d3_at_q6_7/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.06356808476151946,0.5489977488920029
patch,d3_at_q8_5/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.0267754776592149,0.5375487442934981
patch,d3_at_q8_5/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.02499748121510326,0.5377896781182192
patch,d3_at_q8_9/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.06756945274003383,0.5512884025111764
patch,d3_at_q8_9/X/r50,d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.06577950429976694,0.5501733752829386
pooled,pool:d3/X/r50 without q10_7 (8 patches),d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,platt,0.029314924991153006,0.5379176147674679
pooled,pool:d3/X/r50 without q10_7 (8 patches),d3_at_q10_7/X/r50,3,X,50,q10_7,mwpm_gap,si1000,isotonic,0.029630451624071744,0.5373665287856557
same,d3_at_q10_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0008453931420170979,0.018457840957153495
same,d3_at_q10_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0003034432715327315,0.01784238335547058
sim,sim:d3_at_q10_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.002785220371580391,0.020260922866251682
