key,distance,patch,basis,rounds,source,decoder,prior,shots,errors,test_shots,test_errors,agree_with_google_cm,seconds
d5_at_q6_5/Z/r250,5,q6_5,Z,250,google,harmony,rl,50000,18527,15000,5499,,
d5_at_q6_5/Z/r250,5,q6_5,Z,250,google,libra,rl,50000,17441,15000,5226,,
d5_at_q4_7/X/r230,5,q4_7,X,230,ours,pymatching,si1000,50000,23481,15000,7071,27812,5.06
d5_at_q4_7/X/r230,5,q4_7,X,230,ours,pymatching_correlated,si1000,50000,20966,15000,6344,39803,17.42
d5_at_q4_7/X/r230,5,q4_7,X,230,ours,pymatching,rl,50000,23402,15000,7038,27952,5.3
d5_at_q4_7/X/r230,5,q4_7,X,230,ours,pymatching_correlated,rl,50000,20465,15000,6162,35959,17.55
d5_at_q4_7/X/r230,5,q4_7,X,230,google,correlated_matching,si1000,50000,21025,15000,6386,,
d5_at_q4_7/X/r230,5,q4_7,X,230,google,correlated_matching,rl,50000,20590,15000,6137,,
d5_at_q4_7/X/r230,5,q4_7,X,230,google,harmony,si1000,50000,20459,15000,6153,,
d5_at_q4_7/X/r230,5,q4_7,X,230,google,harmony,rl,50000,20136,15000,6110,,
d5_at_q4_7/X/r230,5,q4_7,X,230,google,libra,rl,50000,19204,15000,5760,,
d5_at_q4_7/Z/r230,5,q4_7,Z,230,ours,pymatching,si1000,50000,22279,15000,6699,29075,4.91
d5_at_q4_7/Z/r230,5,q4_7,Z,230,ours,pymatching_correlated,si1000,50000,19328,15000,5773,40730,16.99
d5_at_q4_7/Z/r230,5,q4_7,Z,230,ours,pymatching,rl,50000,22143,15000,6668,29329,5.1
d5_at_q4_7/Z/r230,5,q4_7,Z,230,ours,pymatching_correlated,rl,50000,18576,15000,5576,38918,17.24
d5_at_q4_7/Z/r230,5,q4_7,Z,230,google,correlated_matching,si1000,50000,19010,15000,5695,,
d5_at_q4_7/Z/r230,5,q4_7,Z,230,google,correlated_matching,rl,50000,18246,15000,5513,,
d5_at_q4_7/Z/r230,5,q4_7,Z,230,google,harmony,si1000,50000,18616,15000,5554,,
d5_at_q4_7/Z/r230,5,q4_7,Z,230,google,harmony,rl,50000,18128,15000,5450,,
d5_at_q4_7/Z/r230,5,q4_7,Z,230,google,libra,rl,50000,17198,15000,5225,,
d5_at_q6_9/X/r250,5,q6_9,X,250,ours,pymatching,si1000,50000,24258,15000,7234,26303,6.38
d5_at_q6_9/X/r250,5,q6_9,X,250,ours,pymatching_correlated,si1000,50000,22775,15000,6865,37166,21.73
d5_at_q6_9/X/r250,5,q6_9,X,250,ours,pymatching,rl,50000,24297,15000,7288,26522,6.66
d5_at_q6_9/X/r250,5,q6_9,X,250,ours,pymatching_correlated,rl,50000,22743,15000,6848,33152,22.08
d5_at_q6_9/X/r250,5,q6_9,X,250,google,correlated_matching,si1000,50000,22733,15000,6827,,
d5_at_q6_9/X/r250,5,q6_9,X,250,google,correlated_matching,rl,50000,22583,15000,6897,,
d5_at_q6_9/X/r250,5,q6_9,X,250,google,harmony,si1000,50000,22564,15000,6885,,
d5_at_q6_9/X/r250,5,q6_9,X,250,google,harmony,rl,50000,22390,15000,6763,,
d5_at_q6_9/X/r250,5,q6_9,X,250,google,libra,rl,50000,21636,15000,6459,,
d5_at_q6_9/Z/r250,5,q6_9,Z,250,ours,pymatching,si1000,50000,24336,15000,7244,26667,6.42
d5_at_q6_9/Z/r250,5,q6_9,Z,250,ours,pymatching_correlated,si1000,50000,22881,15000,6877,37012,22.16
d5_at_q6_9/Z/r250,5,q6_9,Z,250,ours,pymatching,rl,50000,23920,15000,7225,26877,6.57
d5_at_q6_9/Z/r250,5,q6_9,Z,250,ours,pymatching_correlated,rl,50000,22211,15000,6683,35004,21.92
d5_at_q6_9/Z/r250,5,q6_9,Z,250,google,correlated_matching,si1000,50000,22541,15000,6756,,
d5_at_q6_9/Z/r250,5,q6_9,Z,250,google,correlated_matching,rl,50000,21843,15000,6483,,
d5_at_q6_9/Z/r250,5,q6_9,Z,250,google,harmony,si1000,50000,22478,15000,6688,,
d5_at_q6_9/Z/r250,5,q6_9,Z,250,google,harmony,rl,50000,21750,15000,6528,,
d5_at_q6_9/Z/r250,5,q6_9,Z,250,google,libra,rl,50000,20955,15000,6326,,
d5_at_q8_7/Z/r250,5,q8_7,Z,250,ours,pymatching,si1000,50000,24123,15000,7260,26821,6.3
d5_at_q8_7/Z/r250,5,q8_7,Z,250,ours,pymatching_correlated,si1000,50000,21952,15000,6497,37890,21.48
d5_at_q8_7/Z/r250,5,q8_7,Z,250,ours,pymatching,rl,50000,23994,15000,7208,26901,6.6
d5_at_q8_7/Z/r250,5,q8_7,Z,250,ours,pymatching_correlated,rl,50000,21750,15000,6373,34143,21.71
d5_at_q8_7/Z/r250,5,q8_7,Z,250,google,correlated_matching,si1000,50000,21802,15000,6509,,
d5_at_q8_7/Z/r250,5,q8_7,Z,250,google,correlated_matching,rl,50000,20877,15000,6178,,
d5_at_q8_7/Z/r250,5,q8_7,Z,250,google,harmony,si1000,50000,21471,15000,6433,,
d5_at_q8_7/Z/r250,5,q8_7,Z,250,google,harmony,rl,50000,20812,15000,6175,,
d5_at_q8_7/Z/r250,5,q8_7,Z,250,google,libra,rl,50000,19772,15000,5809,,
d5_at_q8_7/X/r250,5,q8_7,X,250,ours,pymatching,si1000,50000,24624,15000,7413,26273,6.51
d5_at_q8_7/X/r250,5,q8_7,X,250,ours,pymatching_correlated,si1000,50000,22999,15000,6826,37266,22.11
d5_at_q8_7/X/r250,5,q8_7,X,250,ours,pymatching,rl,50000,24500,15000,7360,26461,6.72
d5_at_q8_7/X/r250,5,q8_7,X,250,ours,pymatching_correlated,rl,50000,22760,15000,6774,34329,21.89
d5_at_q8_7/X/r250,5,q8_7,X,250,google,correlated_matching,si1000,50000,22953,15000,6837,,
d5_at_q8_7/X/r250,5,q8_7,X,250,google,correlated_matching,rl,50000,22315,15000,6638,,
d5_at_q8_7/X/r250,5,q8_7,X,250,google,harmony,si1000,50000,22831,15000,6802,,
d5_at_q8_7/X/r250,5,q8_7,X,250,google,harmony,rl,50000,22376,15000,6631,,
d5_at_q8_7/X/r250,5,q8_7,X,250,google,libra,rl,50000,21492,15000,6413,,
d5_at_q6_5/Z/r230,5,q6_5,Z,230,ours,pymatching,si1000,50000,22548,15000,6799,28653,5.13
d5_at_q6_5/Z/r230,5,q6_5,Z,230,ours,pymatching_correlated,si1000,50000,19570,15000,5913,40521,17.11
d5_at_q6_5/Z/r230,5,q6_5,Z,230,ours,pymatching,rl,50000,22352,15000,6693,29021,5.22
d5_at_q6_5/Z/r230,5,q6_5,Z,230,ours,pymatching_correlated,rl,50000,19123,15000,5751,38038,17.13
d5_at_q6_5/Z/r230,5,q6_5,Z,230,google,correlated_matching,si1000,50000,19395,15000,5817,,
d5_at_q6_5/Z/r230,5,q6_5,Z,230,google,correlated_matching,rl,50000,18271,15000,5393,,
d5_at_q6_5/Z/r230,5,q6_5,Z,230,google,harmony,si1000,50000,18808,15000,5581,,
d5_at_q6_5/Z/r230,5,q6_5,Z,230,google,harmony,rl,50000,18147,15000,5374,,
d5_at_q6_5/Z/r230,5,q6_5,Z,230,google,libra,rl,50000,17063,15000,5101,,
d5_at_q6_5/X/r230,5,q6_5,X,230,ours,pymatching,si1000,50000,24464,15000,7260,26276,6.19
d5_at_q6_5/X/r230,5,q6_5,X,230,ours,pymatching_correlated,si1000,50000,22327,15000,6763,37753,19.88
d5_at_q6_5/X/r230,5,q6_5,X,230,ours,pymatching,rl,50000,24308,15000,7240,26222,6.18
d5_at_q6_5/X/r230,5,q6_5,X,230,ours,pymatching_correlated,rl,50000,22160,15000,6641,33146,19.92
d5_at_q6_5/X/r230,5,q6_5,X,230,google,correlated_matching,si1000,50000,22292,15000,6746,,
d5_at_q6_5/X/r230,5,q6_5,X,230,google,correlated_matching,rl,50000,22094,15000,6719,,
