     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2321,        11,         0,   0.011,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
     10240,         3,         0,   0.021,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      7168,         6,         0,   0.021,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      4096,        24,         0,   0.017,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      3345,         3,         0,   0.011,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      5393,         3,         0,   0.011,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
     13312,         2,         0,   0.027,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      5120,        30,         0,   0.022,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      9216,        20,         0,   0.028,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      7168,         2,         0,   0.015,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      5120,         6,         0,   0.016,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
     35082,         9,         0,   0.071,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
     24576,        26,         0,   0.076,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
     11351,         5,         0,   0.023,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      8192,         4,         0,   0.017,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
     17408,        62,         0,   0.075,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      7168,        12,         0,   0.022,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      7168,        35,         0,   0.030,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      2048,         8,         0,   0.009,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      1024,         4,         0,   0.004,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      7168,         2,         0,   0.014,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      3159,         2,         0,   0.007,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
     12288,        28,         0,   0.039,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      3627,         1,         0,   0.008,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
       139,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
       104,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
       104,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      9216,        20,         0,   0.028,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
