key,distance,patch,basis,rounds,method,prior,shots,errors,ties,seconds
d5_at_q6_5/Z/r190,5,q6_5,Z,190,mwpm_gap,si1000,50000,22180,346,16.67
d5_at_q6_5/Z/r190,5,q6_5,Z,190,mwpm_gap,rl,50000,22030,0,17.04
d5_at_q8_7/Z/r210,5,q8_7,Z,210,mwpm_gap,si1000,50000,23939,393,27.18
d5_at_q8_7/Z/r210,5,q8_7,Z,210,mwpm_gap,rl,50000,23786,0,26.54
d5_at_q6_5/X/r190,5,q6_5,X,190,mwpm_gap,si1000,50000,23287,0,19.24
d5_at_q6_5/X/r190,5,q6_5,X,190,mwpm_gap,rl,50000,23078,0,19.64
d5_at_q6_9/X/r190,5,q6_9,X,190,mwpm_gap,si1000,50000,23791,0,18.34
d5_at_q6_9/X/r190,5,q6_9,X,190,mwpm_gap,rl,50000,23697,0,17.73
d5_at_q6_9/Z/r190,5,q6_9,Z,190,mwpm_gap,si1000,50000,23674,367,19.37
d5_at_q6_9/Z/r190,5,q6_9,Z,190,mwpm_gap,rl,50000,23415,0,18.59
d5_at_q8_7/Z/r190,5,q8_7,Z,190,mwpm_gap,si1000,50000,23355,336,19.67
d5_at_q8_7/Z/r190,5,q8_7,Z,190,mwpm_gap,rl,50000,23248,0,19.71
d7_at_q6_7/X/r90,7,q6_7,X,90,mwpm_gap,si1000,50000,14070,41,19.26
d7_at_q6_7/X/r90,7,q6_7,X,90,mwpm_gap,rl,50000,13649,0,19.75
d5_at_q4_7/X/r170,5,q4_7,X,170,mwpm_gap,si1000,50000,22445,0,14.31
d5_at_q4_7/X/r170,5,q4_7,X,170,mwpm_gap,rl,50000,22251,0,14.58
d5_at_q8_7/X/r190,5,q8_7,X,190,mwpm_gap,si1000,50000,23830,0,21.43
d5_at_q8_7/X/r190,5,q8_7,X,190,mwpm_gap,rl,50000,23739,0,22.21
d5_at_q4_7/Z/r170,5,q4_7,Z,170,mwpm_gap,si1000,50000,20556,244,13.34
d5_at_q4_7/Z/r170,5,q4_7,Z,170,mwpm_gap,rl,50000,20279,0,13.18
d7_at_q6_7/Z/r90,7,q6_7,Z,90,mwpm_gap,si1000,50000,14860,75,19.76
d7_at_q6_7/Z/r90,7,q6_7,Z,90,mwpm_gap,rl,50000,14965,0,20.66
d5_at_q6_5/X/r170,5,q6_5,X,170,mwpm_gap,si1000,50000,22762,0,16.16
d5_at_q6_5/X/r170,5,q6_5,X,170,mwpm_gap,rl,50000,22406,0,16.78
d5_at_q6_5/Z/r170,5,q6_5,Z,170,mwpm_gap,si1000,50000,21443,313,14.43
d5_at_q6_5/Z/r170,5,q6_5,Z,170,mwpm_gap,rl,50000,21477,0,14.9
d5_at_q4_7/X/r150,5,q4_7,X,150,mwpm_gap,si1000,50000,21405,0,12.06
